No.overall,No. inseason,Title,Blacklistguide,Directed by,Written by,Original air date,US viewers(millions)
48,4,"""The Djinn""",No. 43,Omar Madha,Daniel Cerone,"October 22, 2015",6.68[60]
49,5,"""Arioch Cain""",No. 50,Alex Zakrzewski,Dawn DeNoon,"October 29, 2015",7.03[61]
50,6,"""Sir Crispin Crandall""",No. 86,Ami Canaan Mann,Dave Thomas,"November 5, 2015",6.44[62]
51,7,"""Zal Bin Hasaan""",No. 31,Michael Watkins,Brandon Sonnier & Brandon Margolis,"November 12, 2015",6.75[63]
52,8,"""Kings of the Highway""",No. 108,Terrence O'Hara,Brian Studler,"November 19, 2015",6.91[64]
53,9,"""The Director""",No. 24,Mary Lambert,Daniel Cerone,"January 7, 2016",7.52[65]
54,10,"""The Director: Conclusion""",No. 24,John Terlesky,Lukas Reiter,"January 14, 2016",7.47[66]
55,11,"""Mr. Gregory Devry""",No. 95,Alex Zakrzewski,Daniel Knauf,"January 21, 2016",7.42[67]
56,12,"""The Vehm""",No. 132,Michael Watkins,Vincent Angell,"January 28, 2016",7.16[68]
57,13,"""Alistair Pitt""",No. 103,Bill Roe,Story by : Nicole Phillips & Adam Sussman Teleplay by : Nicole Phillips,"February 4, 2016",6.49[69]
58,14,"""Lady Ambrosia""",No. 77,Tim Hunter,Taylor Martin,"February 11, 2016",6.43[70]
59,15,"""Drexel""",No. 113,Anton Cropper,Dave Metzger,"February 18, 2016",6.02[71]
60,16,"""The Caretaker""",No. 78,"Don Thorin, Jr.",Dave Thomas,"February 25, 2016",5.97[72]
61,17,"""Mr. Solomon""",No. 32,Eagle Egilsson,Brian Studler,"April 7, 2016",6.42[73]
62,18,"""Mr. Solomon: Conclusion""",No. 32,John Terlesky,Daniel Cerone,"April 14, 2016",6.74[74]
63,19,"""Cape May""",N/A,Michael Watkins,Daniel Knauf,"April 21, 2016",7.02[75]
64,20,"""The Artax Network""",No. 41,"Don Thorin, Jr.",Dawn DeNoon,"April 28, 2016",6.70[76]
65,21,"""Susan Hargrave""",No. 18,Andrew McCarthy,Story by : J. R. Orci & Lukas Reiter Teleplay by : Vincent Angell & Daniel Cerone & Brian Studler,"May 5, 2016",6.65[77]
66,22,"""Alexander Kirk""",No. 14,Michael Dinner,Story by : Jon Bokenkamp & John Eisendrath & J. R. Orci & Lukas Reiter Teleplay by : Jon Bokenkamp & John Eisendrath,"May 12, 2016",6.62[78]
67,23,"""Alexander Kirk: Conclusion""",No. 14,Bill Roe,Lukas Reiter & J. R. Orci,"May 19, 2016",6.88[79]
68,1,"""Esteban""",No. 79,Michael Watkins,Jon Bokenkamp & John Eisendrath,"September 22, 2016",6.40[80]
69,2,"""Mato""",No. 66,Andrew McCarthy,Daniel Cerone,"September 29, 2016",5.99[81]
70,3,"""Miles McGrath""",No. 65,John Terlesky,Lukas Reiter,"October 6, 2016",6.41[82]
71,4,"""Gaia""",No. 81,Bill Roe,Peter Noah,"October 13, 2016",5.85[83]
72,5,"""The Lindquist Concern""",No. 105,Kurt Kuenne,Dawn DeNoon,"October 20, 2016",5.32[84]
73,6,"""The Thrushes""",No. 53,Terrence O'Hara,Teleplay by : Daniel Knauf Story by : Daniel Knauf & Dave Metzger,"October 27, 2016",5.52[85]
74,7,"""Dr. Adrian Shaw""",No. 98,Andrew McCarthy,Chap Taylor,"November 3, 2016",5.45[86]
75,8,"""Dr. Adrian Shaw: Conclusion""",No. 98,Michael Watkins,Daniel Cerone,"November 10, 2016",5.87[87]
76,9,"""Lipet's Seafood Company""",No. 111,Don Thorin,Teleplay by : Dawn Denoon Story by : Lukas Reiter & Dave Metzger,"January 5, 2017",5.21[88]
77,10,"""The Forecaster""",No. 163,Edward Ornelas,Kim Newton,"January 12, 2017",5.34[89]
78,11,"""The Harem""",No. 102,Bill Roe,Marisa Tam,"January 19, 2017",5.01[90]
79,12,"""Natalie Luca""",No. 184,Michael Watkins,Noah Schechter,"February 2, 2017",5.05[91]
80,13,"""Isabella Stone""",No. 34,Andrew McCarthy,Taylor Martin,"February 9, 2017",4.91[92]
81,14,"""The Architect""",No. 107,Christine Gee,Chap Taylor & Dave Metzger,"February 16, 2017",4.76[93]
82,15,"""The Apothecary""",No. 59,Michael Caracciolo,Teleplay by : Marisa Tam Story by : Brian Studler,"February 23, 2017",4.98[94]
83,16,"""Dembe Zuma""",No. 10,Jean de Segonzac,Brandon Margolis & Brandon Sonnier,"April 20, 2017",4.88[95]
84,17,"""Requiem""",N/A,Terrence O'Hara,Daniel Cerone,"April 20, 2017",4.90[95]
85,18,"""Philomena""",No. 61,Michael Watkins,Peter Noah,"April 27, 2017",4.86[96]
86,19,"""Dr. Bogdan Krilov""",No. 29,Don Thorin,Teleplay by : Lukas Reiter & John Eisendrath & Jon Bokenkamp Story by : Brian Studler & Marisa Tam,"May 4, 2017",4.82[97]
87,20,"""The Debt Collector""",No. 46,Bill Roe,Teleplay by : Kim Newton & Daniel Cerone Story by : Jon Bokenkamp & Lukas Reiter,"May 11, 2017",4.87[98]
88,21,"""Mr. Kaplan""",No. 4,Don Thorin,Teleplay by : John Eisendrath Story by : Lukas Reiter & J. R. Orci,"May 18, 2017",4.94[99]
89,22,"""Mr. Kaplan: Conclusion""",No. 4,Michael Watkins,Teleplay by : Jon Bokenkamp & John Eisendrath & Daniel Cerone Story by : Lukas Reiter & J. R. Orci,"May 18, 2017",4.92[99]
90,1,"""Smokey Putnum""",No. 30,Bill Roe,Jon Bokenkamp & John Eisendrath,"September 27, 2017",6.39[100]
91,2,"""Greyson Blaise""",No. 37,Don Thorin,Lukas Reiter & Jon Bokenkamp,"October 4, 2017",5.87[101]
92,3,"""Miss Rebecca Thrall""",No. 76,Adam Weisinger,Jonathan Shapiro & Taylor Martin,"October 11, 2017",5.79[102]
93,4,"""The Endling""",No. 44,Michael Watkins,Noah Schechter,"October 18, 2017",5.46[103]
94,5,"""Ilyas Surkov""",No. 54,Kurt Kuenne,Brandon Margolis & Brandon Sonnier,"October 25, 2017",5.23[104]
95,6,"""The Travel Agency""",No. 90,Terrence O'Hara,Carla Kettner,"November 1, 2017",5.25[105]
96,7,"""The Kilgannon Corporation""",No. 48,Jean de Segonzac,Lukas Reiter,"November 8, 2017",5.04[106]
97,8,"""Ian Garvey""",No. 13,Bill Roe,John Eisendrath & Jon Bokenkamp,"November 15, 2017",5.89[107]
98,9,"""Ruin""",N/A,Michael Caracciolo,Sean Hennen,"January 3, 2018",6.02[108]
99,10,"""The Informant""",No. 118,Paul Holahan,Noah Schechter,"January 10, 2018",6.16[109]
100,11,"""Abraham Stern""",No. 100,Andrew McCarthy,Teleplay by : Jon Bokenkamp & John Eisendrath Story by : Dave Metzger & Jon Bokenkamp,"January 17, 2018",6.49[110]
101,12,"""The Cook""",No. 56,"Solvan ""Slick"" Naim",Peter Noah,"January 31, 2018",6.11[111]
102,13,"""The Invisible Hand""",No. 63,Andrew McCarthy,Jonathan Shapiro & Lukas Reiter,"February 7, 2018",6.35[112]
103,14,"""Mr. Raleigh Sinclair III""",No. 51,Christine Gee,Kelli Johnson,"February 28, 2018",5.68[113]
104,15,"""Pattie Sue Edwards""",No. 68,"Donald Thorin, Jr.",Carla Kettner,"March 7, 2018",5.69[114]
105,16,"""The Capricorn Killer""",No. 19,Bill Roe,Taylor Martin,"March 14, 2018",5.55[115]
106,17,"""Anna-Gracia Duerte""",No. 25,Michael Caracciolo,Lukas Reiter & Jonathan Shapiro,"April 4, 2018",5.38[116]
107,18,"""Zarak Mosadek""",No. 23,Terrence O'Hara,Sean Hennen,"April 11, 2018",5.15[117]
108,19,"""Ian Garvey: Conclusion""",No. 13,Cort Hessler,Carla Kettner & Katie Bockes,"April 25, 2018",5.24[118]
